price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,gamePhoto,dateexported,gameURL
1,Did I Win?,860,5000.0,4.66,3,2,,,,9/30/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-860-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/did-i-win
10,777,859,200000.0,2.97,3,2,,,,9/2/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-859-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/777-1
5,Fiery 5s,858,100000.0,3.62,2,2,,,,9/2/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-858-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/fiery-5s
3,Bingo X20,857,75000.0,3.66,3,2,,,,9/2/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-857-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/bingo-x20
2,Win $200!,856,200.0,4.28,1990,1177,,,,9/2/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-856-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/win-200
20,"$350,000 Jackpot",855,350000.0,2.97,3,2,,,,8/5/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-855-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/350000-jackpot
10,"$10,000 Winnings",854,10000.0,3.01,160,59,,,,8/5/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-854-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/10000-winnings
5,X50 High Roller,853,100000.0,3.84,3,2,,,,8/5/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-853-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/x50-high-roller
2,X20 High Roller,852,20000.0,4.25,3,3,,,,8/5/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-852-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/x20-high-roller
1,X10 High Roller,851,5000.0,4.71,3,3,,,,8/5/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-851-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/x10-high-roller
10,JURASSIC WORLD™,850,200000.0,2.98,3,1,,,,7/1/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-850-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/jurassic-world%E2%84%A2
5,Red White and Blue 7s,849,77777.0,3.59,3,2,,,,7/1/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-849-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/red-white-and-blue-7s
3,Crossword X-tra®,848,75000.0,3.55,3,1,,,,7/1/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-848-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/crossword-x-tra%C2%AE
1,Neon $100,847,100.0,4.58,2072,657,,,,7/1/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-847-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/neon-100
10,Psychedelic Payout,846,200000.0,3.03,3,1,,,,6/3/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-846-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/psychedelic-payout
5,$500 Loaded,845,500.0,3.84,4358,802,,,,6/3/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-845-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/500-loaded-1
2,Big Bucks,844,20000.0,4.13,2,2,,,,6/3/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-844-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/big-bucks
1,Money Bags,843,5000.0,4.55,3,2,,,,6/3/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-843-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/money-bags-0
10,Jackpot Bucks,842,200000.0,3.03,3,3,,,,4/29/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-842-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/jackpot-bucks
5,"$100,000 Golden Ticket",841,100000.0,3.79,2,0,Top Prize Claimed,,,4/29/2025,01/29/2026,04/29/2026,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-841-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/100000-golden-ticket
2,Double Match,840,20000.0,4.04,2,0,Top Prize Claimed,,,4/29/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-840-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/double-match
1,5X the Luck,839,5000.0,4.73,3,1,,,,4/29/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-839-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/5x-luck-0
10,Xtreme Money,838,300000.0,3.06,3,2,,,,4/15/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-838-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/xtreme-money
10,Black & Gold,837,200000.0,3.03,3,2,,,,4/1/2025,01/29/2026,04/29/2026,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-837-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/black-gold
5,Lady Luck,836,100000.0,3.62,2,1,,,,4/1/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-836-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/lady-luck
3,Loteria™,835,75000.0,3.48,2,1,,,,4/1/2025,To Be Determined,To Be Determined,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-835-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/loteria%E2%84%A2-1
2,7,834,20000.0,4.13,2,1,,,,4/1/2025,01/29/2026,04/29/2026,https://www.myarkansaslottery.com/sites/default/files/instant/front/ar-834-front.jpg,2025-12-11,https://www.myarkansaslottery.com/games/7
