,gameNumber,gameName,price,prizeamount,startDate,endDate,lastdatetoclaim,overallodds,Winning Tickets At Start,Winning Tickets Unclaimed,dateexported,prizeodds,gameURL,tierLevel,topprize,topprizeodds,topprizeremain,topprizeavail,extrachances,secondChance
0,1496,Strike It Rich,20.0,500000,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,7,7,2025-07-02 08:00:51.630000,310958.6,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,1,500000.0,310958.6,7.0,,,
1,1496,Strike It Rich,20.0,10000,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,10,10,2025-07-02 08:00:51.630000,217671.0,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,2,500000.0,310958.6,7.0,,,
2,1496,Strike It Rich,20.0,1000,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,185,185,2025-07-02 08:00:51.630000,11766.0,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,3,500000.0,310958.6,7.0,,,
3,1496,Strike It Rich,20.0,500,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,7234,7226,2025-07-02 08:00:51.630000,300.9,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,4,500000.0,310958.6,7.0,,,
4,1496,Strike It Rich,20.0,200,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,15794,15780,2025-07-02 08:00:51.630000,137.82,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,5,500000.0,310958.6,7.0,,,
5,1496,Strike It Rich,20.0,100,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,45322,45288,2025-07-02 08:00:51.630000,48.03,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,6,500000.0,310958.6,7.0,,,
6,1496,Strike It Rich,20.0,50,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,62406,62336,2025-07-02 08:00:51.630000,34.88,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,7,500000.0,310958.6,7.0,,,
7,1496,Strike It Rich,20.0,40,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,73101,73030,2025-07-02 08:00:51.630000,29.78,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,8,500000.0,310958.6,7.0,,,
8,1496,Strike It Rich,20.0,25,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,199572,199381,2025-07-02 08:00:51.630000,10.91,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,9,500000.0,310958.6,7.0,,,
9,1496,Strike It Rich,20.0,20,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.06,308327,308030,2025-07-02 08:00:51.630000,7.06,https://www.arizonalottery.com/scratchers/1496-strike-it-rich/,10,500000.0,310958.6,7.0,,,
10,1495,NASCAR,10.0,100000,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.48,4,4,2025-07-02 08:00:51.397000,507855.0,https://www.arizonalottery.com/scratchers/1495-nascar/,1,100000.0,507855.0,4.0,,,
11,1495,NASCAR,10.0,1000,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.48,68,68,2025-07-02 08:00:51.397000,29873.82,https://www.arizonalottery.com/scratchers/1495-nascar/,2,100000.0,507855.0,4.0,,,
12,1495,NASCAR,10.0,500,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.48,510,509,2025-07-02 08:00:51.397000,3983.18,https://www.arizonalottery.com/scratchers/1495-nascar/,3,100000.0,507855.0,4.0,,,
13,1495,NASCAR,10.0,250,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.48,1007,1007,2025-07-02 08:00:51.397000,2017.3,https://www.arizonalottery.com/scratchers/1495-nascar/,4,100000.0,507855.0,4.0,,,
14,1495,NASCAR,10.0,200,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.48,2185,2184,2025-07-02 08:00:51.397000,929.71,https://www.arizonalottery.com/scratchers/1495-nascar/,5,100000.0,507855.0,4.0,,,
15,1495,NASCAR,10.0,100,2025-07-01 00:00:00,2099-12-31 00:00:00,2099-12-31 00:00:00,3.48,33857,33832,2025-07-02 08:00:51.397000,60.0,https://www.arizonalottery.com/scratchers/1495-nascar/,6,100000.0,507855.0,4.0,,,
