,price,gameName,gameNumber,gameURL,gamePhoto,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported
0,20,"$1,000,000 Luck",848,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game0,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY848CV-V7.jpg,1000000,3.57,2.0,2.0,,"March 30, 2023",TBD,TBD,,,07/18/2023
1,10,$1000 Loaded!,841,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game1,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY841CV-V5.jpg-resize.jpg,200000,3.27,2.0,2.0,,"June 9, 2022",TBD,TBD,,,07/18/2023
2,2,$100 IN A FLASH,790,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game2,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/250_100inaflash.jpg,20000,4.57,2.0,2.0,,"December 2, 2021",TBD,TBD,,,07/18/2023
3,2,$100 Loaded!,839,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game3,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY839CV-V7.jpg-resize.jpg,25000,4.54,1.0,1.0,,"June 9, 2022",TBD,TBD,,,07/18/2023
4,1,$1 Break Fort Knox,710,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game4,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/1_BreakFortKnox_710.jpg,5000,4.85,9.0,9.0,,"June 14, 2019",TBD,TBD,,,07/18/2023
5,30,"$2,000,000 Diamond Dazzler",810,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game5,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY810.jpg,2000000,3.12,1.0,1.0,,"February 17, 2022",TBD,TBD,,,07/18/2023
6,10,"$200,000 Cash",763,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game6,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY763CV-V6x250.jpg,200000,3.46,1.0,1.0,,"April 3, 2020",TBD,TBD,,,07/18/2023
7,10,"$200,000 Nest Egg ®",793,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game7,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY793CV-V7.jpg,200000,3.37,2.0,2.0,,"February 16, 2023",TBD,TBD,,,07/18/2023
8,20,$2000 Loaded!,842,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game8,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY842CV-V7.jpg-resize.jpg,500000,3.70,0.0,0.0,Top Prize Claimed,"June 9, 2022",TBD,TBD,,,07/18/2023
9,2,$2 Break Fort Knox,711,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game9,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/2_BreakFortKnox_711.jpg,15000,4.83,3.0,3.0,,"June 14, 2019",TBD,TBD,,,07/18/2023
10,10,$30 Million Payout Spectacular,792,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game10,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY792CV-V10-x250.jpg,225000,3.37,2.0,2.0,,"May 21, 2021",TBD,TBD,,,07/18/2023
11,10,$30 Million Payout Spectacular,792,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game11,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY792CV-V10-x250.jpg,225000,3.37,2.0,2.0,,"May 21, 2021",TBD,TBD,,,07/18/2023
12,10,"$50, $100, $500!",828,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game12,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/828-GIF.gif,500,9.75,12355.0,12355.0,,"March 30, 2023",TBD,TBD,,,07/18/2023
13,30,"$50,000 CA$H",896,https://www.kylottery.com/apps/scratch_offs/prizes_remaining.html#game13,https://www.kylottery.com/export/kylmod/galleries/images/KYLottery_ScratchOffs/KY896CV_P1_v8.jpg,50000,2.42,50.0,50.0,,"July 20, 2023",TBD,TBD,,,07/18/2023
