,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
0,1115,"$$150,000 CASH",20,115350.0,44833.0,0.13871639454329995,0.3886692674469007,0.0,0.0,2026-03-31
1,1115,"$$150,000 CASH",40,42063.0,16094.0,0.049795946150823486,0.38261655136343103,1.0036626540521838,0.9959189230164698,2026-03-31
2,1115,"$$150,000 CASH",50,31407.0,12152.0,0.03759912623492028,0.38692011335052695,1.1241007408821388,1.1279737870476085,2026-03-31
3,1115,"$$150,000 CASH",100,20950.0,7999.0,0.0247494577644114,0.38181384248210026,1.9995466421694366,1.979956621152912,2026-03-31
4,1115,"$$150,000 CASH",200,20297.0,7627.0,0.023598464104158737,0.37576981819973393,4.3587492096064135,4.247723538748573,2026-03-31
5,1115,"$$150,000 CASH",400,154.0,64.0,0.0001980204146671246,0.4155844155844156,0.06981710590677531,0.07524775757350734,2026-03-31
6,1115,"$$150,000 CASH",1500,42.0,18.0,5.569324162512879e-05,0.42857142857142855,0.0741597967048044,0.0824259976051906,2026-03-31
7,1115,"$$150,000 CASH",15000,6.0,2.0,6.1881379583476434e-06,0.3333333333333333,0.10723105739748745,0.0926983066160477,2026-03-31
8,1115,"$$150,000 CASH",150000,3.0,2.0,6.1881379583476434e-06,0.6666666666666666,0.5367995323256064,0.9280969309929795,2026-03-31
9,1115,"$$150,000 CASH",0,607918.0800000001,234408.24,0.7252752638467321,0.38559182184546964,-14.505495889953352,-14.505505276934642,2026-03-31
10,1115,"$$150,000 CASH",Total,838190.0800000001,323199.24,1.000000742576555,0.38559182184546964,,,2026-03-31
0,1118,"$$50,000 CASH",5,110923.0,24559.0,0.10725999816567452,0.22140584008726774,0.0,0.0,2026-03-31
1,1118,"$$50,000 CASH",10,55483.0,11155.0,0.0487188110076998,0.20105257466250923,0.2504306017953477,0.243594055038499,2026-03-31
2,1118,"$$50,000 CASH",15,33241.0,6489.0,0.02834032851895688,0.19521073373243886,0.30007619033863175,0.2834032851895688,2026-03-31
3,1118,"$$50,000 CASH",20,22181.0,4261.0,0.018609668642206083,0.19210134800054102,0.3003515227234977,0.27914502963309124,2026-03-31
4,1118,"$$50,000 CASH",50,27713.0,5159.0,0.022531631195761834,0.18615812073756,1.1257799579689316,1.0139234038092826,2026-03-31
5,1118,"$$50,000 CASH",100,2218.0,414.0,0.0018081208209043225,0.18665464382326422,0.19021405513147346,0.17177147798591064,2026-03-31
6,1118,"$$50,000 CASH",50000,3.0,1.0,4.367441596387252e-06,0.3333333333333333,0.13539582866923283,0.21835024261138067,2026-03-31
7,1118,"$$50,000 CASH",0,855990.8,176929.2,0.7727279476955194,0.20669521214480344,-3.8636391538900403,-3.8636397384775973,2026-03-31
8,1118,"$$50,000 CASH",Total,1107752.8,228967.2,1.0000008734883192,0.20669521214480344,,,2026-03-31
0,1124,ELECTRIC LUCK - LUCKY SHAMROCK,40,37847.0,4393.0,0.08905692507298087,0.116072608132745,1.7337230129318046,1.7811385014596173,2026-03-31
1,1124,ELECTRIC LUCK - LUCKY SHAMROCK,100,30378.0,3316.0,0.0672234836198508,0.10915794324840344,5.5663104274412625,5.377878689588064,2026-03-31
2,1124,ELECTRIC LUCK - LUCKY SHAMROCK,200,7635.0,855.0,0.01733295491404476,0.11198428290766209,3.147746897603745,3.119931884528057,2026-03-31
3,1124,ELECTRIC LUCK - LUCKY SHAMROCK,400,1218.0,127.0,0.0025746026597469997,0.10426929392446634,1.0601056349319053,0.9783490107038599,2026-03-31
4,1124,ELECTRIC LUCK - LUCKY SHAMROCK,500,687.0,91.0,0.0018447940317872203,0.1324599708879185,0.7552943439960788,0.8855011352578658,2026-03-31
5,1124,ELECTRIC LUCK - LUCKY SHAMROCK,1000,40.0,6.0,0.00012163477132662991,0.15,0.08978511124650136,0.1192020759000973,2026-03-31
6,1124,ELECTRIC LUCK - LUCKY SHAMROCK,10000,20.0,5.0,0.00010136230943885825,0.25,0.45717112767351203,1.0115958481998053,2026-03-31
7,1124,ELECTRIC LUCK - LUCKY SHAMROCK,0,358773.25,40535.73,0.821759041518002,0.11298425955669773,-16.43494702220349,-16.43518083036004,2026-03-31
8,1124,ELECTRIC LUCK - LUCKY SHAMROCK,Total,436598.25,49328.73,1.0000147988971781,0.11298425955669773,,,2026-03-31
0,1130,SUPREME CASH – GOLDEN,30,91248.0,10310.0,0.1444746503741487,0.11298877783622654,0.0,0.0,2026-03-31
1,1130,SUPREME CASH – GOLDEN,40,18257.0,1948.0,0.02729744121521258,0.1066988004600975,0.27523917782528334,0.2729744121521258,2026-03-31
2,1130,SUPREME CASH – GOLDEN,50,18226.0,1900.0,0.02662481432695272,0.10424668056622408,0.5495436550412023,0.5324962865390543,2026-03-31
3,1130,SUPREME CASH – GOLDEN,100,27362.0,2760.0,0.03867604607494184,0.10086981945764198,2.8875313953874033,2.707323225245929,2026-03-31
4,1130,SUPREME CASH – GOLDEN,150,27374.0,2719.0,0.03810151060788655,0.0993278293270987,4.95222473820845,4.572181272946386,2026-03-31
5,1130,SUPREME CASH – GOLDEN,300,1533.0,153.0,0.002143998206328298,0.09980430528375733,0.6240031116484802,0.5788795157086405,2026-03-31
6,1130,SUPREME CASH – GOLDEN,500,247.0,32.0,0.00044841792550657215,0.12955465587044535,0.17501515119536148,0.21075642498808891,2026-03-31
7,1130,SUPREME CASH – GOLDEN,30000,4.0,1.0,1.401306017208038e-05,0.25,0.18072888556550895,0.41997141335724897,2026-03-31
8,1130,SUPREME CASH – GOLDEN,300000,3.0,0.0,0.0,0.0,1.356687782860003,0.0,2026-03-31
9,1130,SUPREME CASH – GOLDEN,0,479060.4,51539.8,0.7222303186569884,0.10758518132577854,-21.66667973237411,-21.66690955970965,2026-03-31
10,1130,SUPREME CASH – GOLDEN,Total,663314.4,71362.8,1.0000112104481378,0.10758518132577854,,,2026-03-31
0,1131,MEGA HOT,20,41254.0,17500.0,0.07543948890823972,0.4242012895719203,0.0,0.0,2026-03-31
1,1131,MEGA HOT,40,18382.0,7759.0,0.03344771396794469,0.4220977042759221,0.6712642167093008,0.6689542793588937,2026-03-31
2,1131,MEGA HOT,50,22922.0,9730.0,0.041944355832981284,0.42448302940406596,1.2555803265757746,1.2583306749894385,2026-03-31
3,1131,MEGA HOT,100,18348.0,7760.0,0.033452024795882294,0.4229343797689121,2.680090490301872,2.6761619836705837,2026-03-31
4,1131,MEGA HOT,200,7973.0,3358.0,0.014475760214506798,0.4211714536560893,2.6203844194543193,2.6056368386112236,2026-03-31
5,1131,MEGA HOT,250,5430.0,2308.0,0.009949390880012416,0.42504604051565376,2.280333696682205,2.288359902402856,2026-03-31
6,1131,MEGA HOT,2000,27.0,12.0,5.1729935251364376e-05,0.4444444444444444,0.09761120940398003,0.10242527179770146,2026-03-31
7,1131,MEGA HOT,50000,3.0,2.0,8.621655875227395e-06,0.6666666666666666,0.2737715065101528,0.43091036064386523,2026-03-31
8,1131,MEGA HOT,0,433344.81000000006,183545.91,0.7912348366627294,0.42355626689056225,-15.824658059497922,-15.824696733254589,2026-03-31
9,1131,MEGA HOT,Total,547683.81,231974.91,1.0000039228534232,0.42355626689056225,,,2026-03-31
0,1132,SIZZLIN HOT,10,81133.0,35095.0,0.1208413963129515,0.43256134988229206,0.0,0.0,2026-03-31
1,1132,SIZZLIN HOT,20,26994.0,11560.0,0.039804147068748234,0.4282433133288879,0.3997429229775917,0.39804147068748236,2026-03-31
2,1132,SIZZLIN HOT,30,13522.0,5803.0,0.01998126863667353,0.4291524922348765,0.4004833521895973,0.3996253727334706,2026-03-31
3,1132,SIZZLIN HOT,50,16864.0,7194.0,0.024770850693129308,0.42658918406072105,0.9989278585010158,0.9908340277251724,2026-03-31
4,1132,SIZZLIN HOT,100,16905.0,7198.0,0.02478462375439877,0.42579118603963323,2.2530520492118873,2.2306161378958893,2026-03-31
5,1132,SIZZLIN HOT,200,1361.0,568.0,0.001955774700263754,0.41734019103600295,0.3829351798650642,0.3715971930501133,2026-03-31
