,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported
0,1,5X,533,500,4.72,10,9,,,,01/09/2023,,,2023-02-02
0,2,10X™,534,1000,4.04,6,4,,,,01/09/2023,,,2023-02-02
0,5,20X,535,5000,3.60,5,4,,,,01/09/2023,,,2023-02-02
0,10,50X,536,10000,3.07,6,6,,,,01/09/2023,,,2023-02-02
0,10,"$10,000 Crossword Bingo Combo",525,10000,2.95,3,3,,,,12/12/2022,,,2023-02-02
0,2,Happy New Year 2023,542,500,3.88,20,4,,,,12/05/2022,,,2023-02-02
0,5,"$50,000 Money Game",531,50000,3.63,3,2,,,,12/05/2022,,,2023-02-02
0,3,Bingo Doubler,524,5000,3.94,5,4,,,,12/02/2022,,,2023-02-02
0,1,Terrific 10s,520,1000,4.87,5,3,,,,11/01/2022,,,2023-02-02
0,5,Ruby Red 9X / Sapphire Blue 9X,460,1000,3.93,40,28,,,,11/01/2022,,,2023-02-02
0,10,Bankroll,446,1000,3.69,100,78,,,,11/01/2022,,,2023-02-02
0,2,Snow Much Fun,528,500,3.94,20,8,,,,10/03/2022,,,2023-02-02
0,3,Holiday Cash,529,500,3.94,10,0,Top Prize Claimed,,,10/03/2022,,,2023-02-02
0,5,Holiday Luck,530,1000,3.60,12,5,,,,10/03/2022,,,2023-02-02
0,1,Lucky Number,515,500,4.80,20,9,,,,09/06/2022,,,2023-02-02
0,2,Cash Spooktacular,526,500,3.88,20,3,,,,09/06/2022,,,2023-02-02
0,5,Bonus Letter Crossword,523,500,3.84,40,15,,,,08/22/2022,,,2023-02-02
0,10,X the Money,510,20000,3.44,5,4,,,,08/16/2022,,,2023-02-02
0,3,Crossword Plus,519,25000,3.89,4,3,,,,08/10/2022,,,2023-02-02
0,10,THE PRICE IS RIGHT™,532,100000,3.66,3,2,,,,08/01/2022,,,2023-02-02
0,2,Super Cash Bonus,516,2500,3.99,6,3,,,,08/01/2022,,,2023-02-02
0,5,For the Win!,517,1000,3.68,15,8,,,,08/01/2022,,,2023-02-02
0,1,Some Like It Hot,518,1000,4.88,3,1,,,,07/05/2022,,,2023-02-02
0,2,Lucky Number Doubler,490,500,3.98,25,14,,,,07/05/2022,,,2023-02-02
0,10,Cash Out,497,1000,3.61,50,31,,,,07/05/2022,,,2023-02-02
0,1,777,501,500,4.71,15,4,,,,06/06/2022,,,2023-02-02
0,2,Triple 777,502,5000,4.00,2,2,,,,06/06/2022,,,2023-02-02
0,5,Super Triple 777,503,25000,3.65,2,1,,,,06/06/2022,,,2023-02-02
0,10,Mega Triple 777,504,50000,3.20,2,1,,,,06/06/2022,,,2023-02-02
0,3,Love Crossword,500,30000,3.90,4,2,,,,05/15/2022,,,2023-02-02
0,1,Double Doubler,507,400,4.80,25,2,,,,05/02/2022,,,2023-02-02
0,2,7-11-21®,508,2100,4.02,4,0,Top Prize Claimed,,,05/02/2022,,,2023-02-02
0,5,Spicy Hot Cash,489,20000,3.66,2,1,,,,05/02/2022,,,2023-02-02
0,20,Super Cash Spectacular,505,25000,3.15,20,5,,,,04/26/2022,,,2023-02-02
0,3,LOTERIA™,511,25000,3.89,4,2,,,,04/04/2022,,,2023-02-02
0,10,Black Ice,496,100000,3.29,2,0,Top Prize Claimed,,,04/04/2022,,,2023-02-02
0,1,Aces High,481,500,4.96,12,2,,,,04/04/2022,,,2023-02-02
0,2,Fast $50s,495,50,3.95,3227,201,,,,03/01/2022,,,2023-02-02
0,5,HGTV’s My Lottery Dream Home,506,100000,3.46,3,0,Top Prize Claimed,,,03/01/2022,,,2023-02-02
0,3,Bingo Night,498,25000,3.81,3,2,,,,02/14/2022,,,2023-02-02
0,1,Crazy Cash,492,500,4.79,20,0,Top Prize Claimed,,,02/07/2022,,,2023-02-02
0,10,Triple Jackpot,359,100000,3.13,2,0,Top Prize Claimed,,,02/07/2022,,,2023-02-02
0,5,Lucky Cash,453,1000,3.68,25,1,,,,01/18/2022,,,2023-02-02
0,2,Betty Boop™,477,500,3.91,50,3,,,,01/03/2022,,,2023-02-02
0,2,Winning 7’s,483,500,4.10,25,7,,,,11/01/2021,,,2023-02-02
0,10,Super Cash Crossword,488,50000,3.29,2,0,Top Prize Claimed,,,10/15/2021,,,2023-02-02
0,3,Hot Cash Lines,482,500,3.80,50,2,,,,09/07/2021,,,2023-02-02
0,10,Mega Cash,436,1000,3.72,50,1,,,,11/30/2020,,,2023-02-02
0,10,Best of 7’s,421,1000,3.69,120,1,,,,09/14/2020,,,2023-02-02
0,10,"$25, $50 or $100!",358,100,7.49,21081,383,,,,07/02/2019,,,2023-02-02
